City,Year,Sport,Discipline,Event,Athlete,Gender,Country_Code,Country,Event_gender,Medal
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"BOGDANOV, Andrei",Men,URS,Soviet Union,M,Silver
Montreal,1976,Aquatics,Swimming,100m butterfly,"HALL, Gary Wayne",Men,USA,United States,M,Bronze
Montreal,1976,Aquatics,Swimming,400m individual medley,"SMITH, Rebecca",Women,CAN,Canada,W,Bronze
Montreal,1976,Aquatics,Swimming,200m breaststroke,"KOSHEVAYA, Marina",Women,URS,Soviet Union,W,Gold
Montreal,1976,Aquatics,Swimming,200m backstroke,"GARAPICK, Nancy Ellen",Women,CAN,Canada,W,Bronze
Montreal,1976,Aquatics,Swimming,800m freestyle,"WEINBERG, Wendy Elizabeth",Women,USA,United States,W,Bronze
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"MONTGOMERY, James Paul",Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"RASKATOV, Vladimir",Men,URS,Soviet Union,M,Silver
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"ENDER, Kornelia",Women,GDR,East Germany,W,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"JARDIN, Anne Elizabeth",Women,CAN,Canada,W,Bronze
Montreal,1976,Aquatics,Swimming,100m breaststroke,"YOZAITIS, Arvidas",Men,URS,Soviet Union,M,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"WRIGHT, Camille",Women,USA,United States,W,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"KRYLOV, Andrei",Men,URS,Soviet Union,M,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"DOWNIE, Gordon Hunter",Men,GBR,United Kingdom,M,Bronze
Montreal,1976,Aquatics,Swimming,200m breaststroke,"WILKIE, David Andrew",Men,GBR,United Kingdom,M,Gold
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"PEYTON, Kim Marie",Women,USA,United States,W,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"MONTGOMERY, James Paul",Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,200m butterfly,"TAUBER, Ulrike",Women,GDR,East Germany,W,Silver
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"CLARK, Barbara Lynny",Women,CAN,Canada,W,Bronze
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"AMUNDRUD, Gail",Women,CAN,Canada,W,Bronze
Montreal,1976,Aquatics,Swimming,100m butterfly,"ENDER, Kornelia",Women,GDR,East Germany,W,Gold
Montreal,1976,Aquatics,Swimming,200m butterfly,"BRUNER, Michael Lee",Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,400m individual medley,"GIBSON, Cheryl",Women,CAN,Canada,W,Silver
Montreal,1976,Aquatics,Swimming,200m backstroke,"NABER, John Phillips",Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,200m freestyle,"ENDER, Kornelia",Women,GDR,East Germany,W,Gold
Montreal,1976,Aquatics,Swimming,100m butterfly,"BOGLIOLI, Wendy Lansbach",Women,USA,United States,W,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"SMITH, Graham",Men,CAN,Canada,M,Silver
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"VOGEL, Matthew Haynes",Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"SMITH-SLOAN, Susan Estelle",Women,CAN,Canada,W,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"COOK-HOGG, Wendy",Women,CAN,Canada,W,Bronze
Montreal,1976,Aquatics,Swimming,100m butterfly,"POLLACK, Andrea",Women,GDR,East Germany,W,Silver
Montreal,1976,Aquatics,Swimming,100m butterfly,"BOTTOM, Joseph Stuart",Men,USA,United States,M,Silver
Montreal,1976,Aquatics,Swimming,400m freestyle,"THÜMER, Petra",Women,GDR,East Germany,W,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"RICHTER, Ulrike",Women,GDR,East Germany,W,Gold
Montreal,1976,Aquatics,Swimming,200m freestyle,"FURNISS, Bruce Macfarlane",Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,100m breaststroke,"KOSHEVAYA, Marina",Women,URS,Soviet Union,W,Bronze
Montreal,1976,Aquatics,Swimming,200m butterfly,"GREGG, Steven Garrett",Men,USA,United States,M,Silver
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"ENDER, Kornelia",Women,GDR,East Germany,W,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"MCCLATCHEY, Alan",Men,GBR,United Kingdom,M,Bronze
Montreal,1976,Aquatics,Swimming,100m breaststroke,"RUSANOVA, Lyubov",Women,URS,Soviet Union,W,Silver
Montreal,1976,Aquatics,Swimming,400m individual medley,"STRACHAN, Rodney",Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,400m freestyle,"RASKATOV, Vladimir",Men,URS,Soviet Union,M,Bronze
Montreal,1976,Aquatics,Swimming,400m individual medley,"TAUBER, Ulrike",Women,GDR,East Germany,W,Gold
Montreal,1976,Aquatics,Swimming,1500m freestyle,"GOODELL, Brian Stuart",Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"PICKELL, Stephen",Men,CAN,Canada,M,Silver
Montreal,1976,Aquatics,Swimming,200m backstroke,"HARRIGAN, Daniel Lee",Men,USA,United States,M,Bronze
Montreal,1976,Aquatics,Swimming,200m butterfly,"KOTHER-GABRIEL, Rosemarie",Women,GDR,East Germany,W,Bronze
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"POLLACK, Andrea",Women,GDR,East Germany,W,Silver
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Los Angeles,1984,Judo,Judo,65 - 71kg (lightweight),"BROWN, Kerrith",Men,GBR,United Kingdom,M,Bronze
Los Angeles,1984,Judo,Judo,71 - 78kg (half-middleweight),"ADAMS, Neil",Men,GBR,United Kingdom,M,Silver
Los Angeles,1984,Judo,Judo,60 - 65kg (half-lightweight),"HWANG, Jun-Oh",Men,KOR,"Korea, South",M,Silver
Los Angeles,1984,Judo,Judo,71 - 78kg (half-middleweight),"NOWAK, Michel",Men,FRA,France,M,Bronze
Los Angeles,1984,Judo,Judo,71 - 78kg (half-middleweight),"FRATICA, Mircea",Men,ROU,Romania,M,Bronze
Los Angeles,1984,Judo,Judo,- 60 kg,"HOSOKAWA, Shinji",Men,JPN,Japan,M,Gold
Los Angeles,1984,Judo,Judo,- 60 kg,"KIM, Jae-Yup",Men,KOR,"Korea, South",M,Silver
Los Angeles,1984,Judo,Judo,+ 95kg (heavyweight),"BERGER, Marc",Men,CAN,Canada,M,Bronze
Los Angeles,1984,Judo,Judo,78 - 86kg (middleweight),"BERLAND, Robert Lee",Men,USA,United States,M,Silver
Los Angeles,1984,Judo,Judo,86 - 95kg (half-heavyweight),"FRIDRIKSSON, Bjarni",Men,ISL,Iceland,M,Bronze
Los Angeles,1984,Judo,Judo,78 - 86kg (middleweight),"NOSE, Seiki",Men,JPN,Japan,M,Bronze
Los Angeles,1984,Judo,Judo,+ 95kg (heavyweight),"PARISI, Angelo",Men,FRA,France,M,Silver
Los Angeles,1984,Judo,Judo,60 - 65kg (half-lightweight),"REITER, Josef",Men,AUT,Austria,M,Bronze
Los Angeles,1984,Judo,Judo,open category,"CIOC, Mihai",Men,ROU,Romania,M,Bronze
Los Angeles,1984,Judo,Judo,60 - 65kg (half-lightweight),"MATSUOKA, Yoshiyuki",Men,JPN,Japan,M,Gold
Los Angeles,1984,Judo,Judo,86 - 95kg (half-heavyweight),"HA, Hyung-Zoo",Men,KOR,"Korea, South",M,Gold
Los Angeles,1984,Judo,Judo,65 - 71kg (lightweight),"AHN, Byung-Keun",Men,KOR,"Korea, South",M,Gold
Los Angeles,1984,Judo,Judo,78 - 86kg (middleweight),"CARMONA, Walter",Men,BRA,Brazil,M,Bronze
Los Angeles,1984,Judo,Judo,65 - 71kg (lightweight),"GAMBA, Ezio",Men,ITA,Italy,M,Silver
Los Angeles,1984,Judo,Judo,86 - 95kg (half-heavyweight),"VIEIRA, Douglas",Men,BRA,Brazil,M,Silver
Los Angeles,1984,Judo,Judo,open category,"YAMASHITA, Yasuhiro",Men,JPN,Japan,M,Gold
Los Angeles,1984,Judo,Judo,open category,"RASHWAN, Mohamed",Men,EGY,Egypt,M,Silver
Los Angeles,1984,Judo,Judo,78 - 86kg (middleweight),"SEISENBACHER, Peter",Men,AUT,Austria,M,Gold
Los Angeles,1984,Judo,Judo,+ 95kg (heavyweight),"CHO, Yong-Chul",Men,KOR,"Korea, South",M,Bronze
Los Angeles,1984,Judo,Judo,65 - 71kg (lightweight),"YOSHIO ONMURA, Luiz Yoshio",Men,BRA,Brazil,M,Bronze
Los Angeles,1984,Modern Pentathlon,Modern Pentath.,Team competition,"GLENESK, Dean William",Men,USA,United States,M,Silver
Los Angeles,1984,Modern Pentathlon,Modern Pentath.,Individual competition,"MASALA, Daniele",Men,ITA,Italy,M,Gold
Los Angeles,1984,Modern Pentathlon,Modern Pentath.,Team competition,"MASALA, Daniele",Men,ITA,Italy,M,Gold
Los Angeles,1984,Modern Pentathlon,Modern Pentath.,Team competition,"FOUR, Paul",Men,FRA,France,M,Bronze
Los Angeles,1984,Modern Pentathlon,Modern Pentath.,Individual competition,"RASMUSON, Svante",Men,SWE,Sweden,M,Silver
Los Angeles,1984,Modern Pentathlon,Modern Pentath.,Team competition,"BOUZOU, Joel",Men,FRA,France,M,Bronze
Los Angeles,1984,Modern Pentathlon,Modern Pentath.,Team competition,"MASSULLO, Carlo",Men,ITA,Italy,M,Gold
Los Angeles,1984,Modern Pentathlon,Modern Pentath.,Individual competition,"MASSULLO, Carlo",Men,ITA,Italy,M,Bronze
Los Angeles,1984,Modern Pentathlon,Modern Pentath.,Team competition,"BOUBE, Didier",Men,FRA,France,M,Bronze
Los Angeles,1984,Modern Pentathlon,Modern Pentath.,Team competition,"CRISTOFORI, Pier Paolo",Men,ITA,Italy,M,Gold
Los Angeles,1984,Modern Pentathlon,Modern Pentath.,Team competition,"STORM, Michael Earle",Men,USA,United States,M,Silver
Los Angeles,1984,Modern Pentathlon,Modern Pentath.,Team competition,"LOSEY, Robert Gregory",Men,USA,United States,M,Silver
Los Angeles,1984,Rowing,Rowing,four without coxswain (4-),"ROBERTSON, Conrad",Men,NZL,New Zealand,M,Gold
Los Angeles,1984,Rowing,Rowing,four-oared shell with coxswain (4-),"CROSS, Martin",Men,GBR,United Kingdom,M,Gold
Los Angeles,1984,Rowing,Rowing,four-oared shell with coxswain (4-),"REDGRAVE, Steven",Men,GBR,United Kingdom,M,Gold
Los Angeles,1984,Rowing,Rowing,quadruple sculls with coxswain (4x),"ERIKSEN, Hanne Mandsfeldt",Women,DEN,Denmark,W,Bronze
Los Angeles,1984,Rowing,Rowing,pair-oared shell with coxswain (2+),"STILL, Kevin Raymond",Men,USA,United States,M,Bronze
Los Angeles,1984,Rowing,Rowing,quadruple sculls with coxswain (4x),"HANEL, Birgitte",Women,DEN,Denmark,W,Bronze
Los Angeles,1984,Rowing,Rowing,eight with coxswain (8+),"METCALF, Harriet Morris",Women,USA,United States,W,Gold
Los Angeles,1984,Rowing,Rowing,eight with coxswain (8+),"BOWER, Caroll Ann",Women,USA,United States,W,Gold
Los Angeles,1984,Rowing,Rowing,quadruple sculls without coxswain (4x),"GULLOCK, Gary",Men,AUS,Australia,M,Silver
Los Angeles,1984,Rowing,Rowing,coxless pair (2-),"LASURTEGUI BERRIDI, Luis Maria",Men,ESP,Spain,M,Silver
Los Angeles,1984,Rowing,Rowing,eight with coxswain (8+),"MIHALY, Aneta",Women,ROU,Romania,W,Silver
Los Angeles,1984,Rowing,Rowing,eight with coxswain (8+),"HORN, Blair J.H.",Men,CAN,Canada,M,Gold
Los Angeles,1984,Rowing,Rowing,four-oared shell with coxswain (4-),"APOSTOL, Chira",Women,ROU,Romania,W,Gold
Los Angeles,1984,Rowing,Rowing,eight with coxswain (8+),"LUBSEN, Walter Harry Jr.",Men,USA,United States,M,Silver
Los Angeles,1984,Rowing,Rowing,pair without coxswain (2-),"OPREA-HORVAT, Elena",Women,ROU,Romania,W,Gold
Los Angeles,1984,Rowing,Rowing,eight with coxswain (8+),"MAIN, Gerald Grant",Men,CAN,Canada,M,Gold
Los Angeles,1984,Rowing,Rowing,eight with coxswain (8+),"PATTEN, Samuel",Men,AUS,Australia,M,Bronze
Los Angeles,1984,Rowing,Rowing,four-oared shell with coxswain (4-),"BUDGETT, Richard Gordon M.",Men,GBR,United Kingdom,M,Gold
Los Angeles,1984,Rowing,Rowing,quadruple sculls with coxswain (4x),"KOEFOED, Inger Charlotte",Women,DEN,Denmark,W,Bronze
Los Angeles,1984,Rowing,Rowing,double sculls (2x),"HELLEMANS, Nicolette",Women,NED,Netherlands,W,Silver
Los Angeles,1984,Rowing,Rowing,eight with coxswain (8+),"EVANS, Stephen",Men,AUS,Australia,M,Bronze
Los Angeles,1984,Rowing,Rowing,quadruple sculls with coxswain (4x),"CORBAN, Sofia",Women,ROU,Romania,W,Gold
Los Angeles,1984,Rowing,Rowing,double sculls (2x),"DELOOF, Pierre Marie",Men,BEL,Belgium,M,Silver
Los Angeles,1984,Rowing,Rowing,eight with coxswain (8+),"PENNY, Christopher Gore",Men,USA,United States,M,Silver
Los Angeles,1984,Rowing,Rowing,eight with coxswain (8+),"EVANS, Mark",Men,CAN,Canada,M,Gold
Los Angeles,1984,Rowing,Rowing,single sculls (1x),"HAESEBROUCK, Ann",Women,BEL,Belgium,W,Bronze
Los Angeles,1984,Rowing,Rowing,eight with coxswain (8+),"HELLEMANS, Greet",Women,NED,Netherlands,W,Bronze
Los Angeles,1984,Rowing,Rowing,quadruple sculls with coxswain (4x),"SORENSEN, Jette Hejli",Women,DEN,Denmark,W,Bronze
Los Angeles,1984,Rowing,Rowing,four-oared shell with coxswain (4-),"ARMBRUST, Barbara",Women,CAN,Canada,W,Silver
Los Angeles,1984,Rowing,Rowing,double sculls (2x),"STANULOV, Milorad",Men,YUG,Yugoslavia,M,Bronze
Los Angeles,1984,Rowing,Rowing,pair-oared shell with coxswain (2+),"ESPESETH, Robert Douglas, Jr.",Men,USA,United States,M,Bronze
Los Angeles,1984,Rowing,Rowing,single sculls (1x),"KOLBE, Peter-Michael",Men,FRG,West Germany,M,Silver
Los Angeles,1984,Rowing,Rowing,four-oared shell with coxswain (4-),"MABBOTT, Barrie",Men,NZL,New Zealand,M,Bronze
Los Angeles,1984,Rowing,Rowing,four-oared shell with coxswain (4-),"SYMON, Donald",Men,NZL,New Zealand,M,Bronze
Los Angeles,1984,Rowing,Rowing,double sculls (2x),"HELLEMANS, Greet",Women,NED,Netherlands,W,Silver
Los Angeles,1984,Rowing,Rowing,four without coxswain (4-),"CLARK, David Robert",Men,USA,United States,M,Silver
Los Angeles,1984,Rowing,Rowing,four-oared shell with coxswain (4-),"HOMEGHI-BULARDA, Olga",Women,ROU,Romania,W,Gold
Los Angeles,1984,Rowing,Rowing,single sculls (1x),"KARPPINEN, Pertti",Men,FIN,Finland,M,Gold
Los Angeles,1984,Rowing,Rowing,eight with coxswain (8+),"CLAPP, Charles Elmer III.",Men,USA,United States,M,Silver
Los Angeles,1984,Rowing,Rowing,four-oared shell with coxswain (4-),"TONG, Ross",Men,NZL,New Zealand,M,Bronze
Los Angeles,1984,Rowing,Rowing,four-oared shell with coxswain (4-),"SPRINGER, Gregory T.",Men,USA,United States,M,Silver
Los Angeles,1984,Rowing,Rowing,four without coxswain (4-),"RASMUSSEN, Per",Men,DEN,Denmark,M,Bronze
Los Angeles,1984,Rowing,Rowing,four-oared shell with coxswain (4-),"CHAPMAN-POPA, Susan",Women,AUS,Australia,W,Bronze
Los Angeles,1984,Rowing,Rowing,quadruple sculls without coxswain (4x),"HUGHES, Michael",Men,CAN,Canada,M,Bronze
Los Angeles,1984,Rowing,Rowing,four without coxswain (4-),"CHRISTIANSEN, Erik",Men,DEN,Denmark,M,Bronze
Los Angeles,1984,Rowing,Rowing,four-oared shell with coxswain (4-),"THOMPSON, Lesley Allison",Women,CAN,Canada,W,Silver
Los Angeles,1984,Rowing,Rowing,quadruple sculls with coxswain (4x),"TARAN, Titie",Women,ROU,Romania,W,Gold
Los Angeles,1984,Rowing,Rowing,quadruple sculls with coxswain (4x),"MARDEN, Anne R.",Women,USA,United States,W,Silver
Los Angeles,1984,Rowing,Rowing,quadruple sculls with coxswain (4x),"RASMUSSEN, Bodil Steen",Women,DEN,Denmark,W,Bronze
Los Angeles,1984,Rowing,Rowing,four-oared shell with coxswain (4-),"ELLISON, Adrian Charles",Men,GBR,United Kingdom,M,Gold
Los Angeles,1984,Rowing,Rowing,pair without coxswain (2-),"CRAIG, Elizabeth",Women,CAN,Canada,W,Silver
Los Angeles,1984,Rowing,Rowing,coxless pair (2-),"GREPPERUD, Hans Magnus",Men,NOR,Norway,M,Bronze
Los Angeles,1984,Rowing,Rowing,four-oared shell with coxswain (4-),"FOSTER, Margot",Women,AUS,Australia,W,Bronze
Los Angeles,1984,Rowing,Rowing,eight with coxswain (8+),"QUIST, Anne-Marie",Women,NED,Netherlands,W,Bronze
Los Angeles,1984,Rowing,Rowing,eight with coxswain (8+),"EDMUNDS, Ian",Men,AUS,Australia,M,Bronze
Los Angeles,1984,Rowing,Rowing,four without coxswain (4-),"STEKL, Philip William",Men,USA,United States,M,Silver
Los Angeles,1984,Rowing,Rowing,four without coxswain (4-),"O'CONNELL, Leslie",Men,NZL,New Zealand,M,Gold
Los Angeles,1984,Rowing,Rowing,pair-oared shell with coxswain (2+),"ABBAGNALE, Carmine",Men,ITA,Italy,M,Gold
Los Angeles,1984,Rowing,Rowing,double sculls (2x),"LAUMANN, Silken Suzette",Women,CAN,Canada,W,Bronze
Los Angeles,1984,Rowing,Rowing,four-oared shell with coxswain (4-),"BRANCOURT-POLLOCK, Karen",Women,AUS,Australia,W,Bronze
Los Angeles,1984,Rowing,Rowing,coxless pair (2-),"LOKEN, Sverre Bertrand",Men,NOR,Norway,M,Bronze
Los Angeles,1984,Rowing,Rowing,pair-oared shell with coxswain (2+),"TOMOIAGA, Vasile",Men,ROU,Romania,M,Silver
Los Angeles,1984,Rowing,Rowing,double sculls (2x),"LIPA, Elisabeta",Women,ROU,Romania,W,Gold
Los Angeles,1984,Rowing,Rowing,eight with coxswain (8+),"VAN DROGENBROEK, Marieke",Women,NED,Netherlands,W,Bronze
Los Angeles,1984,Rowing,Rowing,eight with coxswain (8+),"BORCHERT, Earl Frederick",Men,USA,United States,M,Silver
Los Angeles,1984,Rowing,Rowing,eight with coxswain (8+),"JAUGSTETTER, Robert C.",Men,USA,United States,M,Silver
Los Angeles,1984,Rowing,Rowing,eight with coxswain (8+),"HELLEMANS, Nicolette",Women,NED,Netherlands,W,Bronze
Los Angeles,1984,Rowing,Rowing,coxless pair (2-),"CLIMENT HUERTA, Fernando",Men,ESP,Spain,M,Silver
Los Angeles,1984,Rowing,Rowing,quadruple sculls with coxswain (4x),"LIND, Joan Louise",Women,USA,United States,W,Silver
Los Angeles,1984,Rowing,Rowing,eight with coxswain (8+),"SAUCA, Lucia",Women,ROU,Romania,W,Silver
Los Angeles,1984,Rowing,Rowing,pair-oared shell with coxswain (2+),"RADUCANU, Dumitru",Men,ROU,Romania,M,Silver
Los Angeles,1984,Rowing,Rowing,eight with coxswain (8+),"VAN ETTEKOVEN, Harriet",Women,NED,Netherlands,W,Bronze
Los Angeles,1984,Rowing,Rowing,eight with coxswain (8+),"HEFER, Clyde",Men,AUS,Australia,M,Bronze
Los Angeles,1984,Rowing,Rowing,double sculls (2x),"LAUMANN, Daniele",Women,CAN,Canada,W,Bronze
Los Angeles,1984,Rowing,Rowing,eight with coxswain (8+),"NEELISSEN, Catalien",Women,NED,Netherlands,W,Bronze
Los Angeles,1984,Rowing,Rowing,quadruple sculls without coxswain (4x),"FORD, Bruce",Men,CAN,Canada,M,Bronze
Los Angeles,1984,Rowing,Rowing,double sculls (2x),"POPESCU, Marioara",Women,ROU,Romania,W,Gold
Los Angeles,1984,Rowing,Rowing,four-oared shell with coxswain (4-),"SCHNEIDER, Angela",Women,CAN,Canada,W,Silver
Los Angeles,1984,Rowing,Rowing,eight with coxswain (8+),"BALAN-SNEP, Doina Lilian",Women,ROU,Romania,W,Silver
Los Angeles,1984,Rowing,Rowing,eight with coxswain (8+),"MCMAHON, Robert Brian",Men,CAN,Canada,M,Gold
Los Angeles,1984,Rowing,Rowing,four-oared shell with coxswain (4-),"IVES, Edward Ashley",Men,USA,United States,M,Silver
Los Angeles,1984,Rowing,Rowing,eight with coxswain (8+),"DARLING, Thomas Ward",Men,USA,United States,M,Silver
Los Angeles,1984,Rowing,Rowing,quadruple sculls without coxswain (4x),"REEDY, Paul",Men,AUS,Australia,M,Silver
Los Angeles,1984,Rowing,Rowing,four without coxswain (4-),"SMITH, Jonathan S.",Men,USA,United States,M,Silver
